,Unnamed: 0,_id_id,deviceId,alarmType,recorded_at_value,recorded_at_hour,recorded_at_date,recorded_at_time,AM/PM,latitude,longitude,speed
2647,2647,11334,12DF03C6:19523068255842304686,FCW,1571660646804,12.24,2019-10-21,12:24:06,PM,8.488566398620605,76.95164489746094,0
2648,2648,7933,12DF03C6:19523068255842304686,FCW,1571661783621,12.43,2019-10-21,12:43:03,PM,8.495028495788574,76.95437622070312,0
2649,2649,13108,12DF03C6:19523068255842304686,FCW,1571661839817,12.43,2019-10-21,12:43:59,PM,8.499428749084473,76.95440673828125,0
2650,2650,3958,12DF03C6:19523068255842304686,FCW,1571662120425,12.48,2019-10-21,12:48:40,PM,8.513706207275389,76.94648742675781,0
2651,2651,9776,12DF03C6:19523068255842304686,FCW,1571662308632,12.51,2019-10-21,12:51:48,PM,8.519974708557129,76.94185638427734,0
2652,2652,12619,12DF03C6:19523068255842304686,HMW,1571662344804,12.52,2019-10-21,12:52:24,PM,8.52165699005127,76.94133758544922,0
2653,2653,571,12DF03C6:19523068255842304686,FCW,1571662762816,12.59,2019-10-21,12:59:22,PM,8.52964973449707,76.93036651611328,0
2654,2654,13351,12DF03C6:19523068255842304686,FCW,1571662887813,1.01,2019-10-21,13:01:27,PM,8.531208038330076,76.92888641357422,0
2655,2655,572,12DF03C6:19523068255842304686,HMW,1571663126814,1.05,2019-10-21,13:05:26,PM,8.543985366821289,76.9224624633789,0
2656,2656,573,12DF03C6:19523068255842304686,HMW,1571663137840,1.05,2019-10-21,13:05:37,PM,8.544857978820799,76.92205047607422,0
2657,2657,12127,12DF03C6:19523068255842304686,FCW,1571663181409,1.06,2019-10-21,13:06:21,PM,8.547626495361326,76.92176055908203,0
2658,2658,574,12DF03C6:19523068255842304686,FCW,1571663215647,1.06,2019-10-21,13:06:55,PM,8.548108100891112,76.92088317871094,0
2659,2659,576,12DF03C6:19523068255842304686,FCW,1571663273649,1.07,2019-10-21,13:07:53,PM,8.548458099365233,76.91844940185547,0
2660,2660,577,12DF03C6:19523068255842304686,FCW,1571663278652,1.07,2019-10-21,13:07:58,PM,8.548458099365233,76.91844940185547,0
2661,2661,578,12DF03C6:19523068255842304686,FCW,1571663281645,1.08,2019-10-21,13:08:01,PM,8.548458099365233,76.91844940185547,0
2662,2662,579,12DF03C6:19523068255842304686,FCW,1571663283652,1.08,2019-10-21,13:08:03,PM,8.548458099365233,76.91844940185547,0
2663,2663,580,12DF03C6:19523068255842304686,FCW,1571663286651,1.08,2019-10-21,13:08:06,PM,8.548458099365233,76.91844940185547,0
