,Date,VehicleId,Mileage,Fuel(in litres),Duration(in milliseconds),Total Distance
0,2019-11-08,12DF03C6:19890368935358464685,,,112000.0,2.303
1,2019-11-08,12DF03C6:19317455059550208687,,,34184000.0,431.28
2,2019-11-08,12DF03C6:19060512629444608688,,,38662000.0,451.556999999999
3,2019-11-09,12DF03C6:19890368935358464685,,,1469000.0,
4,2019-11-09,12DF03C6:19317455059550208687,,,38968000.0,215.335
5,2019-11-09,12DF03C6:19060512629444608688,,,30510000.0,502.115
6,2019-11-10,12DF03C6:19317455059550208687,,,204000.0,0.081
7,2019-11-10,12DF03C6:19060512629444608688,,,39581000.0,403.174
8,2019-11-11,12DF03C6:19317455059550208687,,,61000.0,
9,2019-11-11,12DF03C6:19060512629444608688,,,39107000.0,514.018
10,2019-11-12,12DF03C6:19890368935358464685,,,1210000.0,1.067
11,2019-11-12,12DF03C6:19060512629444608688,,,28978000.0,400.861
12,2019-11-13,12DF03C6:19890368935358464685,,,1168000.0,341.74
13,2019-11-13,12DF03C6:19317455059550208687,,,0.0,0.03
14,2019-11-13,12DF03C6:19060512629444608688,,,38523000.0,516.728999999999
15,2019-11-14,12DF03C6:19890368935358464685,,,30570000.0,220.297
16,2019-11-14,12DF03C6:19317455059550208687,,,0.0,0.196
17,2019-11-14,12DF03C6:19060512629444608688,,,40086000.0,403.116999999999
18,2019-11-15,12DF03C6:19890368935358464685,,,37042000.0,427.132999999999
19,2019-11-15,12DF03C6:19317455059550208687,,,81000.0,109.211999999999
20,2019-11-15,12DF03C6:19060512629444608688,,,32188000.0,516.749
21,2019-11-16,12DF03C6:19890368935358464685,,,35837000.0,433.8
22,2019-11-16,12DF03C6:19317455059550208687,,,28099000.0,637.319999999999
23,2019-11-16,12DF03C6:19060512629444608688,,,42419000.0,345.021999999999
24,2019-11-17,12DF03C6:19890368935358464685,,,35655000.0,418.062
25,2019-11-17,12DF03C6:19317455059550208687,,,47501000.0,395.762
26,2019-11-17,12DF03C6:19060512629444608688,,,30926000.0,503.283
27,2019-11-18,12DF03C6:19890368935358464685,,,36868000.0,322.787
28,2019-11-18,12DF03C6:19317455059550208687,,,33016000.0,384.871
29,2019-11-18,12DF03C6:19060512629444608688,,,45585000.0,398.934
30,2019-11-19,12DF03C6:19890368935358464685,,,29786000.0,599.298
31,2019-11-19,12DF03C6:19317455059550208687,,,31748000.0,368.541
32,2019-11-19,12DF03C6:19060512629444608688,,,27047000.0,564.676999999999
33,2019-11-20,12DF03C6:19890368935358464685,,,35599000.0,326.944
34,2019-11-20,12DF03C6:19317455059550208687,,,30767000.0,437.593
35,2019-11-20,12DF03C6:19060512629444608688,,,40925000.0,392.121999999999
36,2019-11-21,12DF03C6:19890368935358464685,,,37542000.0,425.581999999999
